,MTprime,MPhi,Limit [fb]
0,1600.0,450.0,412.5
1,1600.0,175.0,6.000000238418579
2,1400.0,100.0,6.000000238418579
3,1400.0,75.0,4.4999998807907104
4,1500.0,75.0,3.75
5,1800.0,75.0,2.2499999403953552
6,1900.0,75.0,2.2499999403953552
7,1000.0,175.0,44.999998807907104
8,1600.0,500.0,512.9999923706055
9,1000.0,75.0,15.000000596046448
10,1100.0,175.0,22.499999403953552
11,1100.0,350.0,1214.9999618530273
12,1600.0,75.0,3.0000001192092896
13,1200.0,450.0,1162.5
14,1300.0,100.0,7.500000298023224
15,1700.0,100.0,4.4999998807907104
16,1400.0,175.0,8.24999988079071
17,1500.0,200.0,6.000000238418579
18,1700.0,125.0,5.249999761581421
19,1700.0,175.0,6.000000238418579
20,1400.0,125.0,6.7500001192092896
21,1500.0,100.0,5.249999761581421
22,1600.0,200.0,5.249999761581421
23,1700.0,200.0,5.249999761581421
24,1000.0,100.0,22.499999403953552
25,1000.0,125.0,18.75
26,1000.0,200.0,89.99999761581421
27,1000.0,450.0,2204.9999237060547
28,1100.0,100.0,15.000000596046448
29,1700.0,250.0,3.0000001192092896
30,1200.0,100.0,11.249999701976776
31,1200.0,250.0,37.5
32,1200.0,75.0,7.500000298023224
33,1300.0,175.0,11.249999701976776
34,1300.0,450.0,1050.0
35,1400.0,450.0,664.4999694824219
36,1600.0,100.0,4.4999998807907104
37,2000.0,75.0,3.0000001192092896
38,1700.0,350.0,31.500000953674316
39,1100.0,200.0,30.000001192092896
40,1100.0,500.0,1500.0
41,1200.0,175.0,15.000000596046448
42,1700.0,450.0,335.99998474121094
43,1300.0,250.0,15.000000596046448
44,1300.0,500.0,839.9999618530273
45,1400.0,500.0,720.0
46,1600.0,125.0,5.249999761581421
47,1500.0,125.0,6.000000238418579
48,1600.0,250.0,3.75
49,1100.0,450.0,1113.7499809265137
50,1200.0,125.0,11.249999701976776
51,1200.0,350.0,540.0000095367432
52,1300.0,125.0,9.375
53,1300.0,350.0,350.0
54,1700.0,500.0,377.99999237060547
55,1500.0,350.0,182.99999237060547
56,1700.0,75.0,3.0000001192092896
57,1500.0,175.0,7.5
58,1600.0,350.0,65.99999904632568
59,1400.0,250.0,6.7500001192092896
60,1500.0,450.0,519.0000152587891
61,2100.0,75.0,2.2499999403953552
62,1400.0,200.0,7.5
63,1500.0,250.0,4.4999998807907104
64,1800.0,100.0,3.75
65,1800.0,125.0,3.75
66,1800.0,175.0,4.4999998807907104
67,1000.0,250.0,434.99999046325684
68,1000.0,500.0,3675.0
69,1100.0,125.0,15.000000596046448
70,1100.0,250.0,150.0
71,1100.0,75.0,10.722656548023224
72,1200.0,200.0,15.000000596046448
73,1200.0,500.0,1139.9999618530273
74,1300.0,200.0,11.249999701976776
75,1300.0,75.0,5.624999850988388
76,1400.0,350.0,268.50000381469727
77,1500.0,500.0,609.0000152587891
78,2200.0,75.0,2.2499999403953552
79,2900.0,500.0,29.249999523162842
80,2900.0,75.0,2.2499999403953552
81,3000.0,100.0,2.2499999403953552
82,3000.0,125.0,2.2499999403953552
83,3000.0,175.0,3.0000001192092896
84,3000.0,200.0,3.0000001192092896
85,3000.0,250.0,1.5000000596046448
86,3000.0,350.0,3.0000001192092896
87,3000.0,450.0,15.46875
88,3000.0,500.0,27.000000476837158
89,3000.0,75.0,2.2499999403953552
90,800.0,100.0,225.0
91,800.0,125.0,284.99999046325684
92,800.0,175.0,1214.9999618530273
93,800.0,200.0,2264.9999618530273
94,800.0,250.0,3734.9998474121094
95,800.0,350.0,8880.000305175781
96,800.0,450.0,6644.999694824219
97,800.0,500.0,7259.999847412109
98,800.0,75.0,195.00000476837158
99,900.0,100.0,30.000001192092896
100,900.0,125.0,37.5
101,900.0,175.0,179.99999523162842
102,900.0,200.0,419.9999809265137
103,900.0,250.0,1514.9999618530273
104,900.0,350.0,2100.0
105,900.0,450.0,3959.9998474121094
106,900.0,500.0,6345.000076293945
107,900.0,75.0,33.75000059604645
108,1900.0,325.0,4.999999999999999
109,2000.0,300.0,3.75
110,2600.0,500.0,51.25
111,1000.0,150.0,24.999999999999996
112,2100.0,225.0,2.4999999999999996
113,1100.0,225.0,24.999999999999996
114,1200.0,150.0,9.375
115,1200.0,225.0,12.499999999999998
116,2100.0,275.0,2.4999999999999996
117,1400.0,225.0,4.999999999999999
118,1500.0,150.0,4.999999999999999
119,1500.0,225.0,3.75
120,2100.0,300.0,3.75
121,1700.0,225.0,3.125
122,1700.0,275.0,3.75
123,1700.0,300.0,7.5
124,2100.0,325.0,4.999999999999999
125,1800.0,275.0,3.125
126,1800.0,300.0,4.999999999999999
127,1900.0,150.0,3.125
128,1900.0,275.0,2.4999999999999996
129,2200.0,150.0,1.875
130,1800.0,325.0,7.5
131,2000.0,225.0,2.4999999999999996
132,2200.0,225.0,2.4999999999999996
133,2200.0,275.0,1.875
134,2000.0,325.0,4.999999999999999
135,2000.0,150.0,2.4999999999999996
136,2200.0,300.0,2.4999999999999996
137,1100.0,150.0,18.75
138,2200.0,325.0,3.75
139,1300.0,150.0,9.375
140,1300.0,225.0,7.8125
141,1400.0,150.0,7.5
142,1600.0,150.0,4.999999999999999
143,1600.0,225.0,3.75
144,1700.0,150.0,3.75
145,2300.0,225.0,1.875
146,1700.0,325.0,9.999999999999998
147,1800.0,150.0,3.125
148,1800.0,225.0,2.4999999999999996
149,2300.0,275.0,1.875
150,1900.0,225.0,2.4999999999999996
151,1900.0,300.0,3.75
152,2000.0,275.0,2.4999999999999996
153,2100.0,150.0,2.4999999999999996
154,1900.0,175.0,4.4999998807907104
155,1900.0,250.0,2.2499999403953552
156,1900.0,450.0,210.0
157,2000.0,100.0,3.0000001192092896
158,2000.0,175.0,4.4999998807907104
159,2000.0,250.0,2.2499999403953552
160,2000.0,450.0,171.00000381469727
161,2100.0,100.0,3.0000001192092896
162,2100.0,175.0,3.75
163,2100.0,250.0,2.2499999403953552
164,2100.0,450.0,162.00000762939453
165,2200.0,100.0,2.2499999403953552
166,2200.0,175.0,3.75
167,2200.0,250.0,1.5000000596046448
168,2200.0,450.0,88.50000381469727
169,2300.0,100.0,2.2499999403953552
170,2300.0,175.0,2.2382812201976776
171,2300.0,250.0,1.5000000596046448
172,2300.0,450.0,35.250000953674316
173,2300.0,75.0,2.2499999403953552
174,2400.0,125.0,2.2499999403953552
175,2400.0,200.0,3.0000001192092896
176,2400.0,350.0,5.249999761581421
177,2400.0,500.0,96.00000381469727
178,2500.0,100.0,2.2499999403953552
179,2500.0,175.0,3.3125001192092896
180,2500.0,250.0,1.5000000596046448
181,2500.0,450.0,25.687499046325684
182,2500.0,75.0,2.28515625
183,2600.0,125.0,2.2499999403953552
184,2600.0,200.0,3.0000001192092896
185,2600.0,350.0,3.75
186,2700.0,100.0,2.2499999403953552
187,2700.0,175.0,3.0000001192092896
188,2700.0,250.0,1.5000000596046448
189,2700.0,75.0,2.2499999403953552
190,2800.0,125.0,2.2499999403953552
191,2800.0,200.0,3.0000001192092896
192,2800.0,350.0,3.0000001192092896
193,2800.0,500.0,32.99999952316284
194,2900.0,100.0,2.2499999403953552
195,2900.0,175.0,3.0000001192092896
196,2900.0,250.0,1.5000000596046448
197,2900.0,450.0,16.687500476837158
198,2300.0,150.0,2.4999999999999996
199,1800.0,200.0,4.4999998807907104
200,1800.0,250.0,2.2499999403953552
201,1800.0,350.0,18.75
202,1800.0,450.0,231.00000381469727
203,1800.0,500.0,268.50000381469727
204,1900.0,100.0,3.0000001192092896
205,1900.0,125.0,3.75
206,1900.0,200.0,3.75
207,1900.0,350.0,12.749999761581421
208,1900.0,500.0,291.00000381469727
209,2000.0,125.0,3.75
210,2000.0,200.0,3.75
211,2000.0,350.0,10.499999523162842
212,2000.0,500.0,223.50000381469727
213,2100.0,125.0,3.369140625
214,2100.0,200.0,3.3750000596046448
215,2100.0,350.0,8.999999761581421
216,2100.0,500.0,173.99999618530273
217,2200.0,125.0,2.6249998807907104
218,2200.0,200.0,3.0000001192092896
219,2200.0,350.0,6.7500001192092896
220,2200.0,500.0,201.00000381469727
221,2300.0,125.0,2.2499999403953552
222,2300.0,200.0,3.0000001192092896
223,2300.0,350.0,5.249999761581421
224,2300.0,500.0,123.00000190734863
225,2400.0,100.0,2.2499999403953552
226,2400.0,175.0,3.0000001192092896
227,2400.0,250.0,1.5000000596046448
228,2400.0,75.0,2.2499999403953552
229,2500.0,125.0,2.2499999403953552
230,2500.0,200.0,3.0000001192092896
231,2500.0,350.0,4.4999998807907104
232,2500.0,500.0,73.49999904632568
233,2600.0,100.0,2.2499999403953552
234,2600.0,175.0,3.0000001192092896
235,2600.0,250.0,1.5000000596046448
236,2600.0,450.0,21.609375476837158
237,2600.0,75.0,2.2499999403953552
238,2700.0,125.0,2.2499999403953552
239,2700.0,200.0,3.0000001192092896
240,2700.0,350.0,3.75
241,2700.0,500.0,40.50000190734863
242,2800.0,100.0,2.2499999403953552
243,2800.0,175.0,3.0000001192092896
244,2800.0,250.0,1.5000000596046448
245,2800.0,450.0,17.296874523162842
246,2800.0,75.0,2.2499999403953552
247,2900.0,125.0,2.2499999403953552
248,2900.0,200.0,3.0000001192092896
249,2900.0,350.0,3.0000001192092896
250,2300.0,300.0,2.4999999999999996
251,2300.0,325.0,3.75
252,2400.0,150.0,1.875
253,2400.0,225.0,1.875
254,2600.0,150.0,1.875
255,2600.0,225.0,1.5625
256,2600.0,275.0,1.2499999999999998
257,2600.0,300.0,1.875
258,2600.0,325.0,2.4999999999999996
259,2700.0,150.0,1.875
260,2700.0,225.0,1.2499999999999998
261,2800.0,225.0,1.5625
262,2800.0,275.0,1.2499999999999998
263,2800.0,300.0,1.875
264,2800.0,325.0,2.4999999999999996
265,2900.0,150.0,1.875
266,2900.0,225.0,1.5625
267,2900.0,275.0,1.2499999999999998
268,2900.0,300.0,1.875
269,2900.0,325.0,2.4999999999999996
270,3000.0,150.0,1.875
271,3000.0,225.0,1.2499999999999998
272,3000.0,275.0,1.2499999999999998
273,3000.0,300.0,1.875
274,3000.0,325.0,1.875
275,900.0,150.0,49.99999999999999
276,2500.0,150.0,2.4999999999999996
277,2500.0,225.0,1.875
278,2800.0,150.0,1.875
279,2400.0,275.0,1.2499999999999998
280,2400.0,300.0,1.875
281,2400.0,325.0,3.125
282,2500.0,275.0,1.875
283,2500.0,300.0,2.4999999999999996
284,2500.0,325.0,3.125
285,2700.0,275.0,1.2499999999999998
286,2700.0,300.0,1.875
287,2700.0,325.0,2.4999999999999996
